1 2 3
1 13316 2
1 3416 1
1 22551 1
1 26 1
1 14875 2
1 18975 1
1 3629 1
1 3634 1
1 15448 1
1 22585 2
1 4668 1
1 3134 2
1 1604 1
1 4364 4
1 9290 1
1 19019 1
1 9294 2
1 17165 1
1 15033 1
1 13912 1
1 9817 3
1 602 1
1 9820 1
1 3678 1
1 10339 1
1 9322 3
1 11887 1
1 1140 1
1 15994 1
1 5246 1
1 5248 1
1 20419 1
1 19093 1
1 15514 1
1 6812 1
1 22188 1
1 9901 1
1 19129 1
1 8378 1
1 19133 2
1 7456 1
1 6345 1
1 13514 1
1 11472 1
1 17108 1
1 2265 1
1 13530 1
1 3292 1
1 16592 1
1 1255 1
1 21739 1
1 17140 1
1 22262 1
1 6907 1
1 18686 1
1 256 1
1 14081 1
1 4356 2
1 8972 1
1 5389 1
1 4369 1
1 3290 1
1 8479 1
1 22304 1
1 17697 1
1 8495 1
1 18736 1
1 21305 1
1 3389 1
1 12625 1
1 15704 1
1 5519 1
1 22416 2
1 5351 1
1 19310 1
1 7535 1
1 9075 1
1 18806 1
1 18295 1
1 5504 1
1 8079 1
1 4496 2
1 8175 1
1 2975 1
1 7584 1
1 2465 1
1 2466 1
1 15273 1
1 11186 1
1 7095 1
1 12734 2
1 8641 1
1 1099 2
1 13252 2
1 12746 1
1 16850 1
1 18905 1
1 18911 1
1 12265 1
1 18414 1
1 20463 1
1 3060 1
1 9726 2
2 18191 1
2 9729 1
2 13316 1
2 1030 1
2 8193 1
2 855 1
2 11789 1
2 11790 1
2 16911 1
2 9816 1
2 16217 1
2 4868 1
2 19119 1
2 22557 6
2 2590 2
2 545 1
2 12834 1
2 3113 1
2 12842 1
2 8236 1
2 1069 1
2 12852 1
2 6713 1
2 17467 1
2 13884 1
2 12350 1
2 1076 1
2 12352 1
2 12354 1
2 9398 1
2 18505 1
2 587 1
2 6732 1
2 13389 1
2 592 2
2 12369 1
2 22098 1
2 3155 1
2 16468 1
2 15448 1
2 11791 1
2 8797 1
2 19554 1
2 17508 1
2 18022 1
2 13159 1
2 21613 1
2 11375 1
2 13937 1
2 21618 1
2 1140 4
2 5237 1
2 14969 1
2 11898 4
2 22463 1
2 17532 1
2 22141 1
2 21269 1
2 11392 2
2 22123 1
2 16661 1
2 1669 1
2 22209 1
2 2696 1
2 18569 1
2 18571 1
2 14479 1
2 13388 1
2 17042 1
2 6807 1
2 15514 1
2 16030 1
2 9887 1
2 15523 1
2 9895 1
2 21161 1
2 13440 2
2 11207 1
2 22188 1
2 14509 2
2 7854 1
2 22045 1
2 15030 1
2 3258 1
2 15035 1
2 18108 1
2 8906 1
