1	2	3	
1	13316	2	
1	3416	1	
1	22551	1	
1	26	1	
1	14875	2	
1	18975	1	
1	3629	1	
1	3634	1	
1	15448	1	
1	22585	2	
1	4668	1	
1	3134	2	
1	1604	1	
1	4364	4	
1	9290	1	
1	19019	1	
1	9294	2	
1	17165	1	
1	15033	1	
1	13912	1	
1	9817	3	
1	602	1	
1	9820	1	
1	3678	1	
1	10339	1	
1	9322	3	
1	11887	1	
1	1140	1	
1	15994	1	
1	5246	1	
1	5248	1	
1	20419	1	
1	19093	1	
1	15514	1	
1	6812	1	
1	22188	1	
1	9901	1	
1	19129	1	
1	8378	1	
1	19133	2	
1	7456	1	
1	6345	1	
1	13514	1	
1	11472	1	
1	17108	1	
1	2265	1	
1	13530	1	
1	3292	1	
1	16592	1	
1	1255	1	
1	21739	1	
1	17140	1	
1	22262	1	
1	6907	1	
1	18686	1	
1	256	1	
1	14081	1	
1	4356	2	
1	8972	1	
1	5389	1	
1	4369	1	
1	3290	1	
1	8479	1	
1	22304	1	
1	17697	1	
1	8495	1	
1	18736	1	
1	21305	1	
1	3389	1	
1	12625	1	
1	15704	1	
1	5519	1	
1	22416	2	
1	5351	1	
1	19310	1	
1	7535	1	
1	9075	1	
1	18806	1	
1	18295	1	
1	5504	1	
1	8079	1	
1	4496	2	
1	8175	1	
1	2975	1	
1	7584	1	
1	2465	1	
1	2466	1	
1	15273	1	
1	11186	1	
1	7095	1	
1	12734	2	
1	8641	1	
1	1099	2	
1	13252	2	
1	12746	1	
1	16850	1	
1	18905	1	
1	18911	1	
1	12265	1	
1	18414	1	
1	20463	1	
1	3060	1	
1	9726	2	
2	7937	1	
2	7426	1	
2	22030	1	
2	22032	1	
2	18963	1	
2	19478	1	
2	22551	1	
2	6685	1	
2	5150	2	
2	22568	1	
2	22571	1	
2	9264	1	
2	12341	1	
2	12354	1	
2	14689	1	
2	11732	1	
2	13389	1	
2	12878	3	
2	22100	1	
2	13398	1	
2	15448	1	
2	18528	1	
2	12899	1	
2	16998	1	
2	22119	1	
2	18540	1	
2	18030	1	
2	13331	1	
2	1140	3	
2	1141	1	
2	18793	1	
2	14969	1	
2	22140	1	
2	2173	1	
2	5246	1	
2	3711	1	
2	13440	1	
2	1669	1	
2	6791	1	
2	13449	1	
2	3729	1	
2	3730	1	
2	2755	1	
2	9878	1	
2	5785	1	
2	13466	1	
2	9886	1	
2	18080	1	
2	17062	1	
2	17065	1	
2	22188	2	
2	14509	1	
2	11950	1	
2	22557	2	
2	15031	1	
2	5306	1	
2	19133	1	
2	11969	1	
2	15819	1	
2	1225	1	
2	5838	2	
2	1744	2	
2	212	1	
